,Ranking,Song Names,Artists,Song Ids,Streams,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0,1,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",463CkQjx2Zk1yXoBuierM9,1702998852.0,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4
1,2,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",37BZB0z9T8Xu7U3e65qxFy,,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,4
2,3,Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4
3,4,Mood (feat. iann dior),"24kGoldn, iann dior",4jPy3l0RUwlUI9T5XHBW2m,1647916477.0,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,4
4,5,good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,1796995859.0,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4
5,6,Kiss Me More (feat. SZA),"Doja Cat, SZA",748mdHapucXQri7IAO8yFK,1493976054.0,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,4
6,7,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",7MAibcTli4IisCtbHKrGMh,,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4
7,8,drivers license,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH,1767962594.0,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4
8,9,MONTERO (Call Me By Your Name),Lil Nas X,67BtfxlNbhBmCDR2L2l8qd,1669447695.0,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,4
9,10,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",4iJyoBOLtHqaGxP12qzhQI,,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,4
10,11,Butter,BTS,2bgTY4UwhfBYhGT4HUYStN,,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,4
11,12,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",5HCyWlXZPP0y6Gqq8TgA20,2502328208.0,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4
12,13,deja vu,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,1165782274.0,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,4
13,14,positions,Ariana Grande,35mvY5S1H3J2QZyna3TFe0,,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,4
14,15,Bad Habits,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d,,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,4
15,16,Heat Waves,Glass Animals,02MWAaffLxlfxAUY7c5dvx,2382487727.0,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4
16,17,WITHOUT YOU,The Kid LAROI,27OeeYzk6klgBh83TSvGMA,819422940.0,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,4
17,18,Forever After All,Luke Combs,6IBcOGPsniK3Pso1wHIhew,,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,4
18,19,Go Crazy,"Chris Brown, Young Thug",1IIKrJVP1C9N7iPtG6eOsK,,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,4
19,20,Astronaut In The Ocean,Masked Wolf,3Ofmpyhv5UAQ70mENzB277,1096157499.0,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,4
20,21,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",3jjBPF4NDMCU51psU8JPpR,,0.88,0.662,0,-5.766,1,0.304,0.205,0.0,0.227,0.726,109.988,4
21,22,What You Know Bout Love,Pop Smoke,1tkg4EHVoqnhR6iFEXb60y,933946027.0,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4
