,Ranking,Song Names,Artists,Song Ids,Streams,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0,1,God's Plan,Drake,6DCZcSspjsKoFjzjrWoCdn,,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,4
1,2,Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,2416891941.0,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,3
2,3,Meant to Be (feat. Florida Georgia Line),"Bebe Rexha, Florida Georgia Line",7iDa6hUg2VgEL1o1HjmfBn,1236502647.0,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,4
3,4,Havana (feat. Young Thug),"Camila Cabello, Young Thug",1rfofaqEpACxVEHIZBJe6W,1876805734.0,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,4
4,5,rockstar (feat. 21 Savage),"Post Malone, 21 Savage",0e7ipj03S05BNilyu5bRzt,2648149444.0,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,4
5,6,Psycho (feat. Ty Dolla $ign),"Post Malone, Ty Dolla $ign",3swc6WTsr7rl9DqQKQA55C,,0.75,0.56,8,-8.094,1,0.105,0.546,0.0,0.111,0.459,140.06,4
6,7,I Like It,"Cardi B, Bad Bunny, J Balvin",58q2HKrzhC3ozto2nDdN4z,1481045215.0,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,4
7,8,The Middle,"Zedd, Maren Morris, Grey",09IStsImFySgyp0pIQdqAc,1336197124.0,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,4
8,9,In My Feelings,Drake,2G7V7zsVDxg1yRsu7Ew9RJ,,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,4
9,10,Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B",6FRLCMO5TUHTexlWo8ym1W,,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,4
10,11,Nice For What,Drake,3CA9pLiwRIGtUBiMjbZmRw,,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,4
11,12,Lucid Dreams,Juice WRLD,0s3nnoMeVWz3989MkNQiRf,2208604435.0,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,4
12,13,Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK,,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,4
13,14,Finesse - Remix; feat. Cardi B,"Bruno Mars, Cardi B",3Vo4wInECJQuz9BIBMOu8i,,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,4
14,15,Boo'd Up,Ella Mai,4squZv12LD9M8ooJfoVgZS,327994723.0,0.397,0.843,10,-3.726,0,0.0987,0.158,0.0,0.0844,0.22,81.201,4
15,16,New Rules,Dua Lipa,2ekn2ttSfGqwhhate0LSR0,,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,4
16,17,SAD!,XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4
17,18,Never Be the Same,Camila Cabello,4eWQlBRaTjPPUlzacqEeoQ,,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,4
18,19,Love Lies (with Normani),"Khalid, Normani",45Egmo7icyopuzJN0oMEdk,2018.0,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.338,143.955,4
19,20,no tears left to cry,Ariana Grande,2qT1uLXPVPzGgFOx4jtEuo,,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,4
20,21,Mine,Bazzi,7uzmGiiJyRfuViKKK3lVmR,955398760.0,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,4
21,22,Thunder,Imagine Dragons,1zB4vmk8tFRmM9UULNzbLB,,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,4
22,23,Look Alive (feat. Drake),"BlocBoy JB, Drake",4qKcDkK6siZ7Jp1Jb4m0aL,914126084.0,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,4
23,24,Delicate,Taylor Swift,6NFyWDv5CjfwuzoCkw47Xf,,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,4
24,25,Yes Indeed,"Lil Baby, Drake",6vN77lE9LK6HP2DewaN6HZ,,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957,4
