,Name,Artists,ID,Streams
0,Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,3442631151.0
1,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",6rPO02ozF3bM7NnOV4h6s2,1609787607.0
2,That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,1615367900.0
3,HUMBLE.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS,1843054912.0
4,Something Just Like This,"The Chainsmokers, Coldplay",6RUKPb4LETWmmr3iAEQktW,2097247557.0
5,Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",4Km5HrUvYTaSUfiSGPJeQR,
6,Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,2510636903.0
7,Body Like A Back Road,Sam Hunt,7mldq42yDuxiUNn08nvzHO,751827142.0
8,Believer,Imagine Dragons,1NtIMM4N0cFa1dNzN15chl,2459980495.0
9,Congratulations,"Post Malone, Quavo",3a1lNhkSLSkpJE4MSHpDu9,
10,Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,2312007742.0
11,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",3DXncPQOG4VBw3QHh3S817,
12,XO Tour Llif3,Lil Uzi Vert,7GX5flRQZVHRAGd6B4TmDO,
13,Mask Off,Future,0VgkVdmE4gld66l8iyGjgx,
14,Unforgettable,"French Montana, Swae Lee",3B54sVLJ402zGa6Xm4YGNe,1639814788.0
15,24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,
16,Stay,"Zedd, Alessia Cara",6uBhi9gBXWjanegOb2Phh0,1115208829.0
17,Wild Thoughts (feat. Rihanna & Bryson Tiller),"DJ Khaled, Rihanna, Bryson Tiller",1OAh8uOEOvTDqkKFsKksCi,967365439.0
18,Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,874890044.0
19,Starboy,"The Weeknd, Daft Punk",7MXVkk9YMctZqd1Srtv4MB,2349400780.0
20,Location,Khalid,152lZdxL1OR0ZMW6KquMif,
21,Attention,Charlie Puth,4iLqG9SeJSnt0cSPICSjxv,1495184472.0
22,There's Nothing Holdin' Me Back,Shawn Mendes,7JJmb5XwzOO8jgpou264Ml,1617424046.0
23,Bodak Yellow,Cardi B,2771LMNxwf62FTAdpJMQfM,
24,Redbone,Childish Gambino,3kxfsdsCpFgN412fpnW85Y,1339876839.0
25,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",2y5aJvzXhHPA94U5GFAcXe,1374091071.0
26,It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",3eR23VReFzcdmS7TYCrhCe,
27,iSpy (feat. Lil Yachty),"KYLE, Lil Yachty",2EEeOnHehOozLq4aS0n6SL,885984356.0
28,Issues,Julia Michaels,7vu0JkJh0ldukEYbTVcqd0,1092862297.0
29,Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,1197386604.0
30,1-800-273-8255,"Logic, Alessia Cara, Khalid",5tz69p7tJuGPeMGwNTxYuV,1230584677.0
31,Slow Hands,Niall Horan,27vTihlWXiz9f9lJM3XGVU,825475090.0
32,Love On The Brain,Rihanna,2aksifNn5ph8igDOkPBA02,1116128972.0
33,I Feel It Coming,"The Weeknd, Daft Punk",3dhjNA0jGA8vHBQ1VdD6vV,
34,Bounce Back,Big Sean,0SGkqnVQo9KPytSri1H6cF,
35,Strip That Down,"Liam Payne, Quavo",4Ro98RCK90oHqqSZUnTFq5,
36,Fake Love,Drake,343YBumqHu19cGoGARUTsd,
37,Don't Wanna Know (feat. Kendrick Lamar),"Maroon 5, Kendrick Lamar",3PGdPUMdUg7a3Tgr5gkfKK,
38,Look What You Made Me Do,Taylor Swift,2VjtYe7gpfUi2OkGxR2O2z,
39,Castle on the Hill,Ed Sheeran,6PCUP3dWmTjcTtXY02oFdT,
40,Bad Things (with Camila Cabello),"Machine Gun Kelly, Camila Cabello",1PSBzsahR2AKwLJgx8ehBj,
41,Paris,The Chainsmokers,72jbDTw1piOOj770jWNeaG,1060152202.0
42,Side To Side,"Ariana Grande, Nicki Minaj",1pKeFVVUOPjFsOABub0OaV,
43,Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie",5knuzwU65gJK7IF5yJsuaW,1338026531.0
44,Feel It Still,Portugal. The Man,7FESgYLcOufHqKlwrvJN60,1106911134.0
