,Ranking,Song Names,Artists,Song Ids,Streams,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0,1,Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus",6u7jPi22kF8CTQ3rb9DHE7,,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,4
1,2,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",3KkXRkHbMCARz0aVfEt68P,2616824723.0,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,4
2,3,Without Me,Halsey,5p7ujcrUXASCNwRaWNHR1C,1722030665.0,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4
3,4,bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
4,5,Wow.,Post Malone,6MWtB6iiXyIwun0YzU6DFP,,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,4
5,6,Happier,"Marshmello, Bastille",2dpaYNEQHiRxtZbfNsse99,1840171716.0,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,4
6,7,7 rings,Ariana Grande,14msK75pk3pA33pzPVNtBF,1956631066.0,0.725,0.321,1,-10.744,0,0.323,0.578,0.0,0.0884,0.319,70.142,4
7,8,Talk (feat. Disclosure),"Khalid, Disclosure",6TqXcAFInzjp0bODyvrWEq,,0.9,0.4,0,-8.575,1,0.127,0.0516,0.0,0.0599,0.346,135.984,4
8,9,SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,4
9,10,Sucker,Jonas Brothers,4y3OI86AEP6PQoDE6olYhO,1223839436.0,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,4
10,11,High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,1372362254.0,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,4
11,12,"thank u, next",Ariana Grande,2rPE9A1vEgShuZxxzR2tZH,,0.724,0.647,1,-5.642,1,0.0658,0.28,0.0,0.102,0.435,106.96,4
12,13,Truth Hurts,Lizzo,5qmq61DAAOUaW8AUo8xKhh,906684913.0,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,4
13,14,Dancing With A Stranger (with Normani),"Sam Smith, Normani",6Qs4SXO9dwPj5GKvVOv8Ki,,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,4
14,15,Señorita,"Shawn Mendes, Camila Cabello",0TK2YIli7K1leLovkQiNik,2398627901.0,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,4
15,16,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",3HVWdVOQ0ZA45FuZGSfvns,2019.0,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,4
16,17,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",0d2iYfpKoM0QCKvcLCkBao,1465087313.0,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,4
17,18,Going Bad (feat. Drake),"Meek Mill, Drake",2IRZnDFmlqMuOrYOLnZZyc,1017973314.0,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,4
18,19,Shallow,"Lady Gaga, Bradley Cooper",2VxeLyX666F8uXCJ0dZF8B,2071118146.0,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,4
19,20,Better,Khalid,4T3fNx3CgwDRRYgmFCbD4J,1177852863.0,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,4
20,21,No Guidance (feat. Drake),"Chris Brown, Drake",7FEwp8BavoEVE3AnxJDchc,893723764.0,0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932,4
21,22,Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B",6FRLCMO5TUHTexlWo8ym1W,,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,4
22,23,Sweet but Psycho,Ava Max,25sgk305KZfyuqVBQIahim,1425401825.0,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,4
23,24,Suge,DaBaby,2gwkD6igEhQbDQegRCcdoB,,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,4
24,25,MIDDLE CHILD,J. Cole,2JvzF1RMd7lE3KmFlsyZD8,1047021431.0,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,4
25,26,Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna",78QR3Wp35dqAhFEc2qAGjE,1185027214.0,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,4
26,27,Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,2735355999.0,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,4
27,28,Ransom,Lil Tecca,1kBbgxAUc4HQv7cgIayIDH,1119407215.0,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,4
28,29,If I Can't Have You,Shawn Mendes,6LsAAHotRLMOHfCsSfYCsz,,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,4
29,30,Goodbyes (Feat. Young Thug),"Post Malone, Young Thug",6vBdBCoOhKHiYDDOcorfNo,,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,4
30,31,ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",0FZ4Dmg8jJJAPJnvBIzD9z,943635521.0,0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,4
31,32,Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK,,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,4
