,Name,Artists,ID,Streams
0,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",463CkQjx2Zk1yXoBuierM9,1702998852.0
1,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",37BZB0z9T8Xu7U3e65qxFy,
2,Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,
3,Mood (feat. iann dior),"24kGoldn, iann dior",4jPy3l0RUwlUI9T5XHBW2m,1647916477.0
4,good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,1796995859.0
5,Kiss Me More (feat. SZA),"Doja Cat, SZA",748mdHapucXQri7IAO8yFK,1493976054.0
6,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",7MAibcTli4IisCtbHKrGMh,
7,drivers license,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH,1767962594.0
8,MONTERO (Call Me By Your Name),Lil Nas X,67BtfxlNbhBmCDR2L2l8qd,1669447695.0
9,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",4iJyoBOLtHqaGxP12qzhQI,
10,Butter,BTS,2bgTY4UwhfBYhGT4HUYStN,
11,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",5HCyWlXZPP0y6Gqq8TgA20,2502328208.0
12,deja vu,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,1165782274.0
13,positions,Ariana Grande,35mvY5S1H3J2QZyna3TFe0,
14,Bad Habits,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d,
15,Heat Waves,Glass Animals,02MWAaffLxlfxAUY7c5dvx,2382487727.0
16,WITHOUT YOU,The Kid LAROI,27OeeYzk6klgBh83TSvGMA,819422940.0
17,Forever After All,Luke Combs,6IBcOGPsniK3Pso1wHIhew,
18,Go Crazy,"Chris Brown, Young Thug",1IIKrJVP1C9N7iPtG6eOsK,
19,Astronaut In The Ocean,Masked Wolf,3Ofmpyhv5UAQ70mENzB277,1096157499.0
20,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",3jjBPF4NDMCU51psU8JPpR,
21,What You Know Bout Love,Pop Smoke,1tkg4EHVoqnhR6iFEXb60y,933946027.0
22,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear",7kDUspsoYfLkWnZR7qwHZl,592746369.0
23,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",27NovPIUIRrOZoCHxABJwK,1727794718.0
24,Therefore I Am,Billie Eilish,20R4HfKloPKgXDqU7UKk3x,
25,Up,Cardi B,1XXimziG1uhM0eDNCZCrUl,552779747.0
26,Fancy Like,Walker Hayes,3ZozFqJJlDBNIm4xqxn2ZD,255351746.0
27,DÁKITI,"Bad Bunny, JhayCo",47EiUVwUp4C9fGccaPuUCS,2020.0
28,Best Friend (feat. Doja Cat),"Saweetie, Doja Cat",2etHQJxIbV0soyPhelVs9Y,476953236.0
29,RAPSTAR,Polo G,43PGPuHIlVOc04jrZVh9L6,753911954.0
30,Heartbreak Anniversary,Giveon,3FAJ6O0NOHQV8Mc5Ri6ENp,885552445.0
31,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",0PvFJmanyNQMseIFrU708S,977054549.0
32,Calling My Phone,"Lil Tjay, 6LACK",3J8EOeKLTLXORtWPpOU5bE,620743607.0
33,Beautiful Mistakes (feat. Megan Thee Stallion),"Maroon 5, Megan Thee Stallion",5zFglKYiknIxks8geR8rcL,
34,Holy (feat. Chance The Rapper),"Justin Bieber, Chance the Rapper",5u1n1kITHCxxp8twBcZxWy,
35,On Me,Lil Baby,4Iedi94TIaB2GGb1nMB68v,
36,you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,1122293915.0
37,traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,1133586036.0
38,Back in Blood (feat. Lil Durk),"Pooh Shiesty, Lil Durk",7JuHVG3qQKQKxC4doneXVW,290964509.0
39,I Hope (feat. Charlie Puth),"Gabby Barrett, Charlie Puth",5cYFwgA5dHoqR3xGnlr9ew,81170094.0
40,Dynamite,BTS,4saklk6nie3yiGePpBwUoc,1630941820.0
41,Wockesha,Moneybagg Yo,0nqhKXDjsyBMvbeWmgijD0,
42,You Right,"Doja Cat, The Weeknd",0k4d5YPDr1r7FX77VdqWez,
43,Beat Box 2 (feat. Pooh Shiesty),"SpotemGottem, Pooh Shiesty",4viLFSt63lJgCEZMfJwxI4,37830722.0
44,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",2SAqBLGA283SUiwJ3xOUVI,
45,Need to Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,
46,Wants and Needs (feat. Lil Baby),"Drake, Lil Baby",65OVbaJR5O1RmwOQx0875b,
47,Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",0k1WUmIRnG3xU6fvvDVfRG,
48,telepatía,Kali Uchis,6tDDoYIxWvMLTdKpjFkc1B,830289684.0
49,Whoopty,CJ,5vGLcdRuSbUhD8ScwsGSdA,691064509.0
50,Lemonade,"Internet Money, Gunna, Don Toliver, NAV",02kDW379Yfd5PzW5A6vuGt,
51,Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,
52,Starting Over,Chris Stapleton,3TNSVsiFngfe68UJpMq1oS,190849944.0
53,Body,Megan Thee Stallion,0A1hoCfMLkiAgvhWkkucJa,
54,willow,Taylor Swift,0lx2cLdOt3piJbcaXIV74f,
55,Bang!,AJR,2I2AqFb0f9UNnolWc2MafC,346067530.0
56,Better Together,Luke Combs,6gdLyYNuhWBzqwlOFSsXC7,
57,You’re Mines Still (feat. Drake),"Yung Bleu, Drake",7E2C5rBLpCKwQlhJPVFBRS,2020.0
58,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"DJ Khaled, Lil Baby, Lil Durk",1EJIcDYXwSqipW5dFe4uJz,247123025.0
59,Essence (feat. Justin Bieber & Tems),"Wizkid, Justin Bieber, Tems",1mSdbey7RstGLY2udgXv74,
